Date,Open,High,Low,Close,Adj Close,Volume
2016-12-07,221.600006,223.520004,211.039993,211.679993,206.000214,564700
2016-12-08,211.520004,212.800003,209.119995,210.720001,205.065948,640400
2016-12-09,208.479996,208.479996,205.600006,206.080002,200.550446,554300
2016-12-12,208.479996,211.199997,207.360001,208.479996,202.886032,445600
2016-12-13,206.559998,206.720001,197.279999,200.479996,195.100708,874600
2016-12-14,200.000000,203.679993,197.919998,201.759995,196.346359,870600
2016-12-15,201.119995,202.559998,197.440002,200.479996,195.100708,674900
2016-12-16,199.839996,204.320007,198.559998,203.039993,197.592010,467300
2016-12-19,202.559998,203.520004,196.960007,200.639999,195.256424,392100
2016-12-20,199.199997,199.520004,197.279999,198.240005,192.920837,248100
2016-12-21,198.240005,200.320007,197.919998,198.880005,193.543655,216600
2016-12-22,198.720001,202.880005,198.720001,200.800003,195.412109,275800
2016-12-23,201.600006,202.240005,200.000000,200.000000,194.633575,193700
2016-12-27,199.199997,199.360001,193.600006,197.279999,191.986572,413300
2016-12-28,196.000000,202.080002,195.360001,201.759995,196.346359,519100
2016-12-29,201.919998,204.479996,200.479996,202.720001,197.280609,353700
2016-12-30,201.759995,210.559998,201.600006,208.479996,202.886032,747200
2017-01-03,204.479996,206.720001,200.800003,203.360001,197.903427,537400
2017-01-04,202.559998,202.559998,198.720001,199.839996,194.477875,516700
2017-01-05,200.160004,200.320007,196.160004,196.800003,191.519455,368200
2017-01-06,195.839996,197.440002,189.759995,191.360001,186.225433,555200
2017-01-09,190.880005,191.360001,188.479996,189.600006,184.512650,414100
2017-01-10,189.600006,190.559998,186.559998,188.320007,183.267014,483400
2017-01-11,188.000000,191.039993,186.720001,187.039993,182.021332,457600
2017-01-12,188.800003,192.839996,187.320007,187.639999,182.605240,1072000
2017-01-13,187.320007,187.320007,184.800003,185.639999,180.658890,806700
2017-01-17,187.360001,189.000000,186.320007,187.399994,182.371674,877800
2017-01-18,186.639999,188.039993,185.759995,186.320007,181.320679,622000
2017-01-19,185.639999,187.720001,183.559998,186.479996,181.476349,705700
2017-01-20,184.240005,186.800003,182.679993,185.240005,180.269638,958000
2017-01-23,185.839996,188.399994,184.119995,185.000000,180.036057,682600
2017-01-24,183.800003,184.720001,180.320007,181.160004,176.299103,613100
2017-01-25,177.960007,178.240005,175.600006,175.639999,170.927231,737800
