Date,Open,High,Low,Close,Adj Close,Volume
2016-08-26,116.650002,117.540001,116.080002,116.779999,113.672562,23896000
2016-08-29,116.809998,117.250000,116.790001,116.940002,113.828300,11184900
2016-08-30,116.750000,117.089996,116.160004,116.559998,113.458412,19843300
2016-08-31,116.379997,116.559998,115.949997,116.440002,113.341614,16169800
2016-09-01,116.480003,116.879997,115.910004,116.739998,113.633621,20944700
2016-09-02,117.320000,117.559998,116.680000,117.120003,114.003510,18088200
2016-09-06,117.320000,117.849998,117.059998,117.849998,114.714088,18525200
2016-09-07,117.959999,118.120003,117.470001,117.919998,114.782219,17546900
2016-09-08,117.570000,117.599998,116.919998,117.230003,114.110573,20125300
2016-09-09,116.250000,116.510002,114.260002,114.279999,111.239082,50813300
2016-09-12,113.639999,116.489998,113.629997,116.330002,113.234550,39646000
2016-09-13,115.750000,116.089996,114.730003,115.290001,112.222214,45863900
2016-09-14,115.410004,116.470001,115.379997,115.839996,112.757568,28221800
2016-09-15,115.870003,117.820000,115.860001,117.639999,114.509674,38521400
2016-09-16,117.220001,117.410004,116.709999,117.290001,114.455040,27596500
2016-09-19,117.589996,117.949997,116.550003,116.779999,113.957367,16222900
2016-09-20,117.199997,117.480003,116.800003,117.000000,114.172035,18078600
2016-09-21,117.500000,118.320000,116.809998,118.150002,115.294250,31546800
2016-09-22,118.839996,119.220001,118.720001,119.089996,116.211540,22614400
2016-09-23,119.000000,119.000000,118.160004,118.330002,115.469902,22213400
2016-09-26,117.660004,117.800003,117.169998,117.339996,114.503815,16403900
2016-09-27,117.260002,118.559998,117.150002,118.500000,115.635788,20238400
2016-09-28,118.650002,118.769997,118.089996,118.699997,115.830948,14794300
2016-09-29,118.500000,118.720001,117.330002,117.839996,114.991730,27207500
2016-09-30,118.150002,119.070000,118.029999,118.720001,115.850464,25543200
2016-10-03,118.570000,118.699997,118.089996,118.550003,115.684586,19216400
2016-10-04,118.900002,119.160004,117.919998,118.370003,115.508942,21239700
2016-10-05,118.720001,119.169998,118.669998,118.790001,115.918785,14481300
2016-10-06,118.639999,118.980003,118.150002,118.730003,115.860222,11987100
