Date,Open,High,Low,Close,Adj Close,Volume
2016-08-26,217.919998,219.119995,216.250000,217.289993,204.997787,122506300
2016-08-29,217.440002,218.669998,217.399994,218.360001,206.007263,70502200
2016-08-30,218.259995,218.589996,217.350006,218.000000,205.667618,58114500
2016-08-31,217.610001,217.750000,216.470001,217.380005,205.082687,85269500
2016-09-01,217.369995,217.729996,216.029999,217.389999,205.092133,97844200
2016-09-02,218.389999,218.869995,217.699997,218.369995,206.016693,79293900
2016-09-06,218.699997,219.119995,217.860001,219.029999,206.639359,56702100
2016-09-07,218.839996,219.220001,218.300003,219.009995,206.620483,76554900
2016-09-08,218.619995,218.940002,218.149994,218.509995,206.148758,74102900
2016-09-09,216.970001,217.029999,213.250000,213.279999,201.214630,221589100
2016-09-12,212.389999,216.809998,212.309998,216.339996,204.101547,168110900
2016-09-13,214.839996,215.149994,212.500000,213.229996,201.167465,182828800
2016-09-14,213.289993,214.699997,212.500000,213.149994,201.091949,134185500
2016-09-15,212.960007,215.729996,212.750000,215.279999,203.101471,134427900
2016-09-16,213.479996,213.690002,212.570007,213.369995,202.316360,155236400
2016-09-19,214.130005,214.880005,213.029999,213.410004,202.354324,80250500
2016-09-20,214.410004,214.589996,213.380005,213.419998,202.363785,69665300
2016-09-21,214.240005,216.029999,213.440002,215.820007,204.639465,110284400
2016-09-22,217.000000,217.529999,216.710007,217.179993,205.928970,76678700
2016-09-23,216.720001,216.880005,215.880005,215.990005,204.800659,73630900
2016-09-26,215.020004,215.229996,214.009995,214.240005,203.141327,89827300
2016-09-27,214.050003,215.679993,213.619995,215.570007,204.402420,78494800
2016-09-28,215.830002,216.820007,214.710007,216.639999,205.416977,87411000
2016-09-29,216.399994,216.869995,214.039993,214.679993,203.558517,128070600
2016-09-30,215.649994,217.119995,215.360001,216.300003,205.094574,117202900
2016-10-03,215.820007,216.039993,215.039993,215.779999,204.601532,83512100
2016-10-04,215.910004,216.169998,213.990005,214.679993,203.558517,119948100
2016-10-05,215.410004,216.130005,215.330002,215.630005,204.459305,72816000
2016-10-06,215.369995,216.039993,214.740005,215.779999,204.601532,62927400
2016-10-07,216.100006,216.300003,214.190002,215.039993,203.899872,89788300
